"Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"11158",126.312171297595,-1.09378917332958,0.306630220523186,-3.56712776536934,0.00036091553267259,0.00117898365077814
"23348",323.503436093143,-1.06619535554707,0.298913537010542,-3.56690220928156,0.000361226203787912,0.00117965093413743
"102724023",459.580496277518,0.772415807218126,0.216549587405567,3.5669234768455,0.000361196900099161,0.00117965093413743
"10482",800.661351644841,0.917597072843197,0.25726968861521,3.56667385801371,0.000361540979577138,0.00118050503330047
"105373181",44.7493374099792,1.28204109158602,0.359487111679463,3.56630613430492,0.000362048415483916,0.00118198786291819
"4055",815.577267605181,0.791002540070035,0.221854692847718,3.56540819541277,0.000363290315400747,0.00118586772467189
"51434",324.967782267329,-0.708138355996414,0.198635159799916,-3.56502019435894,0.000363828174123072,0.00118744862128422
"8079",1389.79060853503,0.675507564486039,0.189494697645092,3.56478346297166,0.000364156703920401,0.00118834595330846
"285074",413.722156101029,0.915982046932034,0.256978202964691,3.56443479005063,0.000364641088495068,0.00118975154448052
"84336",403.641391137426,0.740738549493331,0.207821950223682,3.56429409259254,0.000364836719234234,0.00119003963111208
"55095",771.072582722622,0.603536898681754,0.169328007293728,3.56430639164623,0.000364819614280016,0.00119003963111208
"7955",19.7311018725317,2.23583252319894,0.627336136694018,3.56401041231499,0.000365231456797375,0.00119115198161862
"6253",159.668561178974,1.01314015899171,0.284295867475981,3.56368232850696,0.000365688479282333,0.00119246710876566
"255520",98.0605911580851,-1.32180699069497,0.370924456697606,-3.56354768963796,0.00036587618663558,0.00119280699790667
"22797",71.3518267437841,-1.84949381296231,0.519006043271406,-3.56353039996328,0.00036590029763512,0.00119280699790667
"125965",8.9064653813611,3.52180729884937,0.988337287528027,3.5633658097206,0.00036612989834336,0.00119338003320089
"63931",43.130245445232,-1.6968997954902,0.47625111446705,-3.56303585218717,0.00036659058949164,0.00119470601578301
"5393",111.868552633961,1.16098312942692,0.325904439791058,3.56234217051857,0.000367560885151922,0.00119769214803214
"25766",146.763940569967,-1.00438893648264,0.281949965802958,-3.56229493989216,0.000367627036795066,0.00119773169466556
"153768",197.257216285195,2.04685049011516,0.574604094344944,3.56219266493149,0.000367770322182348,0.00119802249508908
"79719",196.383421062045,-0.803597561744639,0.225600264361145,-3.56204175567022,0.000367981838715204,0.00119853544237235
"84679",339.206724221183,-1.04883048666004,0.294457211921229,-3.56191135485117,0.000368164701923007,0.00119895492736683
"64506",56.9200025560683,3.08249565852529,0.865837999080847,3.5601297954093,0.000370671536354624,0.00120694135787481
"9295",448.159643364944,-0.904804054762956,0.254175813287579,-3.55975670170963,0.00037119853375792,0.00120830244972814
"8050",205.905165078675,0.902932828596991,0.253648807397742,3.55977557261335,0.000371171861667908,0.00120830244972814
"112268426",552.873885375235,-1.0383655515888,0.291704805733718,-3.55964499445605,0.000371356457221911,0.00120863908446186
"23660",122.711461078022,-0.979801059718473,0.275261533148949,-3.55952772808356,0.000371522307333191,0.00120884927570695
"100507588",24.3432268333058,1.90446709745053,0.535034470762464,3.55952223926156,0.000371530071883416,0.00120884927570695
"646719",196.952796515518,1.00408165659068,0.282109057913571,3.55919680146638,0.000371990711142394,0.00121009722029407
"107987192",72.2224375103554,1.42583533932272,0.40060847568071,3.55917417099066,0.000372022763179611,0.00121009722029407
"143686",2275.22546076013,1.56187392184985,0.438845696408815,3.55905033279592,0.000372198203644744,0.00121049031499245
"107985688",28.0820003240412,-2.05439407325089,0.577245707222047,-3.55895946483087,0.000372326984674056,0.00121073156740908
"4116",24.5269736227321,-2.09654485597768,0.589159921471959,-3.55853271678709,0.000372932343221627,0.00121252225492615
"111216285",6.72934220529491,5.17964993527423,1.45568979793735,3.55820995833973,0.000373390799482675,0.0012138348611243
"10465",82.8615200531766,-1.25067248486689,0.351606525434753,-3.55702296287154,0.000375081380839705,0.00121915194059508
"105373828",6.23342398106082,3.14783589330711,0.884981983107475,3.55694912822291,0.000375186776048741,0.00121931578075697
"25946",787.943750535198,0.983597903095032,0.276637616938692,3.55554647260071,0.0003771942616312,0.00122566025167207
"116068",109.81140399057,-1.53104672303472,0.430663629158284,-3.55508712455494,0.000377853861539677,0.00122744382153249
"4731",274.766910666098,-0.943766161983234,0.26546728772411,-3.55511283546188,0.000377816913548158,0.00122744382153249
"79666",270.908491873045,-1.46059726570642,0.410967771988325,-3.55404332227762,0.000379356717952888,0.00123214528546761
"154007",90.0796572640749,-1.30020035084655,0.365864959418591,-3.55377118626705,0.000379749453923823,0.00123324024477253
"441072",12.9557625939441,2.26854437470396,0.638592569497592,3.55241273240733,0.000381715610714354,0.00123926236485799
"10907",250.03874963738,-0.841709049224234,0.236938838267287,-3.55243173883851,0.000381688036268705,0.00123926236485799
"25888",76.4760199398357,-1.17384908322412,0.330495510337102,-3.55178526336653,0.000382626986038634,0.00124203934832685
"100506866",308.178685793251,0.906896599079311,0.255370679377884,3.55129493052463,0.000383340591291464,0.00124399155148499
"9896",247.061969022099,-1.06782286046504,0.300685342664644,-3.55129668444127,0.000383338036516006,0.00124399155148499
"89766",22.7842659197155,2.72615180507762,0.767806817193075,3.5505699402928,0.000384397984352599,0.00124724040167318
